ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesAmount
381,20230101,20230113,20230108,16942,7,1000.4375
375,20230101,20230113,20230108,15114,8,2181.5625
369,20230101,20230113,20230108,15116,8,2443.35
337,20230101,20230113,20230108,20576,10,782.99
370,20230101,20230113,20230108,13059,4,2443.35
370,20230101,20230113,20230108,13085,1,2443.35
352,20230101,20230113,20230108,20186,6,2071.4196
337,20230101,20230113,20230108,15199,4,782.99
377,20230101,20230113,20230108,21200,9,2181.5625
387,20230102,20230114,20230109,19172,10,1000.4375
356,20230102,20230114,20230109,11484,8,2071.4196
369,20230102,20230114,20230109,13592,7,2443.35
373,20230102,20230114,20230109,13779,7,2181.5625
371,20230102,20230114,20230109,24778,6,2181.5625
368,20230102,20230114,20230109,13093,1,2443.35
375,20230102,20230114,20230109,24976,6,2181.5625
375,20230102,20230114,20230109,25046,6,2181.5625
368,20230102,20230114,20230109,25048,6,2443.35
360,20230102,20230114,20230109,12570,9,2049.0982
362,20230103,20230115,20230110,11604,10,2049.0982
371,20230103,20230115,20230110,13667,7,2181.5625
370,20230103,20230115,20230110,16046,10,2443.35
385,20230103,20230115,20230110,17095,7,1000.4375
368,20230103,20230115,20230110,12918,4,2443.35
368,20230103,20230115,20230110,28663,6,2443.35
369,20230103,20230115,20230110,21191,9,2443.35
373,20230103,20230115,20230110,20999,9,2181.5625
370,20230103,20230115,20230110,21002,9,2443.35
358,20230103,20230115,20230110,12354,9,2049.0982
321,20230103,20230115,20230110,26019,9,782.99
379,20230104,20230116,20230111,15100,8,2181.5625
371,20230104,20230116,20230111,15101,8,2181.5625
385,20230104,20230116,20230111,13992,4,1000.4375
375,20230104,20230116,20230111,24781,6,2181.5625
375,20230104,20230116,20230111,13060,4,2181.5625
371,20230104,20230116,20230111,13226,1,2181.5625
360,20230104,20230116,20230111,12341,9,2049.0982
354,20230104,20230116,20230111,12346,9,2071.4196
362,20230104,20230116,20230111,12576,9,2049.0982
373,20230105,20230117,20230112,15699,10,2181.5625
379,20230105,20230117,20230112,12980,1,2181.5625
370,20230105,20230117,20230112,28766,6,2443.35
358,20230105,20230117,20230112,20206,6,2049.0982
373,20230105,20230117,20230112,21183,9,2181.5625
370,20230105,20230117,20230112,21199,9,2443.35
369,20230106,20230118,20230113,13056,1,2443.35
368,20230106,20230118,20230113,13057,4,2443.35
360,20230106,20230118,20230113,26127,1,2049.0982
360,20230106,20230118,20230113,26252,4,2049.0982
354,20230106,20230118,20230113,12350,9,2071.4196
377,20230107,20230119,20230114,16054,10,2181.5625
377,20230107,20230119,20230114,12934,4,2181.5625
343,20230107,20230119,20230114,19931,8,782.99
379,20230107,20230119,20230114,21215,9,2181.5625
321,20230107,20230119,20230114,25958,9,782.99
